X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
27.821792,43.259333,7,50,0,0
23.799526,43.547134,7,90,0,0
23.709594,43.375584,7,90,0,0
23.481602,41.850035,7,60,0,0
23.769202,43.437559,7,90,0,0
23.776352,42.930422,7,90,0,0
23.095116,42.349728,7,50,0,0
23.06643,23.06645,7,60,0,0
23.06459,42.200387,7,60,0,0
23.710692,42.766011,7,130,0,0
27.656915,43.229476,7,130,0,0
27.794588,43.241861,7,130,0,0
24.775394,43.047993,7,60,0,0
25.215948,43.042788,7,60,0,0
23.175007,41.704238,7,50,0,0
23.818684,43.599623,7,90,0,0
23.672745,43.044765,7,50,0,0
23.684773,43.060344,7,50,0,0
23.702545,43.138339,7,130,0,0
23.687374,43.112701,7,50,0,0
23.856594,43.669792,7,90,0,0
25.982239,42.496934,7,50,0,0
26.417144,43.118704,7,60,0,0
25.86728,42.475489,7,50,0,0
23.695966,43.114657,7,60,0,0
23.648735,43.158106,7,90,0,0
25.091267,43.035698,7,60,0,0
26.917912,43.318827,7,60,0,0
26.280406,42.621505,7,50,0,0
26.669,42.647088,7,50,0,0
27.145097,43.323058,7,130,0,0
23.324337,42.697208,7,40,0,0
23.325978,42.696365,7,40,0,0
23.328168,42.693727,7,40,0,0
23.33075,43.694677,7,40,0,0
23.333014,42.693918,7,40,0,0
23.337643,42.681027,7,40,0,0
23.196237,42.636663,7,50,0,0
23.273956,42.709272,7,50,0,0
23.282797,42.706587,7,50,0,0
23.287004,42.695777,7,50,0,0
23.291918,42.650106,7,50,0,0
23.31133,42.657304,7,50,0,0
23.315758,42.698991,7,50,0,0
23.316834,42.705232,7,50,0,0
23.321115,42.694917,7,50,0,0
23.327426,42.695827,7,50,0,0
23.32883,42.687848,7,50,0,0
23.329447,42.668622,7,50,0,0
23.331131,42.685781,7,50,0,0
23.331354,42.69031,7,50,0,0
23.338164,42.690532,7,50,0,0
23.340203,42.688926,7,50,0,0
23.17463,42.615853,7,60,0,0
23.430384,42.709121,7,60,0,0
23.453195,42.632463,7,60,0,0
23.314682,42.681568,7,70,0,0
23.395274,42.648147,7,80,0,0
25.668848,42.319747,7,50,0,0
27.819243,43.500108,7,90,0,0
23.498874,42.626513,7,130,0,0
23.760129,42.510405,7,130,0,0
23.922954,42.352314,7,130,0,0
24.036719,42.341705,7,130,0,0
24.37057,42.236445,7,130,0,0
24.418772,42.21472,7,130,0,0
24.47202,42.207212,7,130,0,0
24.507827,42.205107,7,130,0,0
24.526244,42.205022,7,80,0,0
24.526235,42.205002,7,80,0,0
25.082458,42.210226,7,80,0,0
25.648681,43.070585,7,60,0,0
27.840098,43.239199,7,50,0,0
27.857577,43.226112,7,50,0,0
27.859751,43.211676,7,50,0,0
27.863764,43.226261,7,50,0,0
27.896023,43.197958,7,50,0,0
27.945741,43.218273,7,50,0,0
27.959276,43.217104,7,50,0,0
23.529154,43.223042,7,50,0,0
23.577795,43.251771,7,90,0,0
